age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,is_success
34,management,married,tertiary,no,46,yes,no,cellular,5,may,39,4,-1,0,,no
53,services,married,,no,18,no,no,cellular,5,may,503,2,-1,0,,no
45,technician,married,secondary,no,44,yes,no,cellular,5,may,95,4,-1,0,,no
39,blue-collar,married,primary,no,-100,yes,no,cellular,5,may,680,2,-1,0,,no
44,services,married,tertiary,no,510,yes,no,cellular,5,may,421,4,-1,0,,no
55,management,married,tertiary,no,685,yes,no,cellular,5,may,174,3,-1,0,,no
46,management,single,tertiary,no,187,yes,no,cellular,5,may,113,2,-1,0,,no
45,blue-collar,married,secondary,no,66,yes,no,cellular,5,may,808,2,-1,0,,no
34,admin.,married,secondary,no,560,yes,no,cellular,5,may,198,3,-1,0,,no
36,blue-collar,married,secondary,no,0,yes,no,cellular,5,may,195,2,-1,0,,no
59,,divorced,,no,27,no,no,cellular,5,may,347,3,-1,0,,no
31,admin.,single,secondary,no,12,yes,no,cellular,5,may,208,2,-1,0,,no
44,blue-collar,single,secondary,no,34,yes,no,cellular,5,may,404,4,-1,0,,no
33,entrepreneur,single,tertiary,no,1068,yes,no,cellular,5,may,396,2,-1,0,,no
40,blue-collar,married,secondary,no,211,yes,no,cellular,5,may,216,4,-1,0,,no
46,admin.,single,tertiary,no,377,yes,no,cellular,5,may,98,2,-1,0,,no
48,management,married,tertiary,no,263,yes,no,cellular,5,may,350,2,-1,0,,no
42,services,married,secondary,no,1263,yes,no,cellular,6,may,114,2,-1,0,,no
27,services,married,secondary,no,8,yes,no,cellular,6,may,88,3,-1,0,,no
48,admin.,married,secondary,no,126,yes,yes,cellular,6,may,379,2,-1,0,,no
59,admin.,married,secondary,no,230,yes,no,cellular,6,may,190,3,-1,0,,no
46,technician,married,tertiary,no,841,yes,no,cellular,6,may,158,1,-1,0,,no
38,admin.,divorced,secondary,no,308,yes,no,cellular,6,may,102,1,-1,0,,no
43,management,divorced,tertiary,no,1,yes,no,cellular,6,may,306,1,-1,0,,no
38,admin.,divorced,tertiary,no,86,yes,no,cellular,6,may,218,1,-1,0,,no
23,student,single,secondary,no,157,yes,no,cellular,6,may,54,1,-1,0,,no
34,services,married,secondary,no,22,yes,no,cellular,6,may,344,1,-1,0,,no
38,admin.,married,secondary,no,46,yes,yes,cellular,6,may,195,1,-1,0,,no
37,blue-collar,married,secondary,no,1293,no,no,cellular,6,may,652,1,-1,0,,no
25,admin.,single,secondary,no,122,yes,no,cellular,6,may,286,1,-1,0,,no
48,blue-collar,married,,no,131,yes,no,cellular,6,may,189,1,-1,0,,no
49,blue-collar,single,secondary,no,143,yes,no,cellular,6,may,83,1,-1,0,,no
38,admin.,single,secondary,no,393,no,no,cellular,6,may,184,2,-1,0,,no
43,blue-collar,married,primary,no,98,yes,no,cellular,6,may,235,1,-1,0,,no
33,management,married,tertiary,no,0,yes,no,cellular,6,may,290,1,-1,0,,no
55,blue-collar,married,secondary,no,224,yes,no,cellular,6,may,232,1,-1,0,,no
38,blue-collar,married,secondary,no,757,yes,no,cellular,6,may,133,1,-1,0,,no
49,services,married,secondary,no,245,yes,yes,cellular,6,may,318,1,-1,0,,no
40,management,married,secondary,no,8486,no,no,cellular,6,may,260,3,-1,0,,no
43,admin.,married,,no,350,no,no,cellular,6,may,437,1,-1,0,,no
38,blue-collar,married,secondary,no,20,yes,no,cellular,6,may,402,1,-1,0,,no
58,services,married,secondary,no,1667,yes,yes,cellular,6,may,85,1,-1,0,,no
57,technician,married,,no,345,yes,no,cellular,6,may,125,1,-1,0,,no
32,unemployed,married,secondary,no,10,yes,no,cellular,6,may,501,4,-1,0,,no
58,blue-collar,divorced,,no,29,yes,no,cellular,6,may,253,1,-1,0,,no
37,technician,married,tertiary,no,8730,yes,no,cellular,6,may,149,1,-1,0,,no
46,technician,divorced,tertiary,no,477,yes,no,cellular,6,may,114,1,-1,0,,no
27,admin.,married,secondary,no,4,yes,no,cellular,6,may,243,1,-1,0,,no
43,blue-collar,married,secondary,no,1205,yes,no,cellular,6,may,769,2,-1,0,,no
32,technician,single,secondary,no,0,yes,yes,cellular,6,may,135,3,-1,0,,no
40,admin.,single,secondary,no,263,yes,no,cellular,6,may,231,1,-1,0,,no
38,admin.,married,secondary,no,1,no,no,cellular,6,may,76,1,-1,0,,no
34,blue-collar,married,secondary,no,283,no,yes,cellular,6,may,199,1,-1,0,,no
47,blue-collar,married,primary,no,206,yes,no,cellular,6,may,152,1,-1,0,,no
42,housemaid,married,primary,no,17,yes,no,cellular,6,may,124,1,-1,0,,no
48,technician,married,secondary,no,141,yes,yes,cellular,6,may,424,1,-1,0,,no
29,self-employed,single,tertiary,no,16,yes,no,cellular,6,may,43,1,-1,0,,no
50,services,married,secondary,no,206,yes,no,cellular,6,may,154,1,-1,0,,no
52,technician,married,,no,7,no,no,cellular,6,may,203,2,-1,0,,no
50,management,married,tertiary,no,0,no,no,cellular,6,may,326,1,-1,0,,no
58,retired,married,tertiary,no,0,no,no,cellular,6,may,393,1,-1,0,,no
46,blue-collar,divorced,primary,no,1927,yes,no,cellular,6,may,241,3,-1,0,,no
38,technician,married,secondary,no,284,yes,no,cellular,6,may,483,1,-1,0,,no
46,blue-collar,married,secondary,no,1660,yes,no,cellular,6,may,259,1,-1,0,,no
32,services,single,secondary,no,406,yes,no,cellular,6,may,227,1,-1,0,,no
51,blue-collar,married,primary,no,230,yes,no,cellular,6,may,673,1,-1,0,,no
39,admin.,single,secondary,no,-25,yes,no,cellular,6,may,576,1,-1,0,,no
48,admin.,married,secondary,no,182,yes,no,cellular,6,may,180,2,-1,0,,no
36,entrepreneur,married,tertiary,no,1169,yes,no,cellular,6,may,168,2,-1,0,,no
34,admin.,divorced,secondary,no,67,yes,no,cellular,6,may,90,1,-1,0,,no
40,technician,married,secondary,no,77,no,no,cellular,6,may,505,1,-1,0,,no
43,unemployed,married,secondary,no,0,yes,no,cellular,6,may,245,1,-1,0,,no
52,blue-collar,divorced,primary,no,55,yes,yes,cellular,6,may,186,1,-1,0,,no
33,technician,married,secondary,yes,72,yes,no,cellular,6,may,623,1,-1,0,,no
49,management,single,tertiary,no,163,yes,no,cellular,6,may,496,3,-1,0,,no
32,management,single,tertiary,no,151,yes,no,cellular,6,may,118,1,-1,0,,no
39,admin.,single,secondary,no,113,yes,no,cellular,6,may,342,1,-1,0,,no
40,blue-collar,married,secondary,no,0,yes,no,cellular,6,may,225,1,-1,0,,no
38,technician,single,tertiary,no,9,yes,no,cellular,6,may,185,3,-1,0,,no
43,management,married,secondary,no,375,yes,no,cellular,6,may,196,2,-1,0,,no
39,services,married,secondary,no,1142,yes,no,cellular,6,may,276,1,-1,0,,no
54,blue-collar,married,primary,no,2102,yes,no,cellular,6,may,76,1,-1,0,,no
38,technician,single,tertiary,no,4325,yes,no,cellular,6,may,87,1,-1,0,,no
40,blue-collar,married,secondary,no,217,yes,no,cellular,6,may,195,1,-1,0,,no
55,admin.,married,secondary,no,131,yes,no,cellular,6,may,744,1,-1,0,,no
42,management,married,tertiary,no,1680,yes,no,cellular,6,may,765,1,-1,0,,no
39,blue-collar,married,secondary,no,0,yes,no,cellular,6,may,262,1,-1,0,,no
40,blue-collar,married,primary,no,46,yes,no,cellular,6,may,119,1,-1,0,,no
32,blue-collar,married,secondary,no,320,yes,no,cellular,6,may,198,2,-1,0,,no
55,admin.,married,secondary,no,183,yes,no,cellular,6,may,150,1,-1,0,,no
45,blue-collar,married,secondary,no,39,no,no,cellular,6,may,241,1,-1,0,,no
35,management,single,tertiary,no,560,yes,no,cellular,6,may,181,1,-1,0,,no
58,technician,divorced,secondary,no,469,no,no,cellular,6,may,196,1,-1,0,,no
35,admin.,married,secondary,no,530,yes,no,cellular,6,may,149,1,-1,0,,no
49,services,married,primary,no,61,yes,no,cellular,6,may,246,1,-1,0,,no
34,technician,single,tertiary,no,242,yes,no,cellular,6,may,112,1,-1,0,,no
36,blue-collar,married,secondary,no,139,yes,no,cellular,6,may,309,2,-1,0,,no
24,self-employed,single,secondary,no,0,yes,no,cellular,6,may,278,1,-1,0,,no
34,technician,married,secondary,no,367,yes,no,cellular,6,may,140,1,-1,0,,no
51,admin.,divorced,secondary,no,228,yes,no,cellular,6,may,136,1,-1,0,,no
50,self-employed,married,,no,-84,yes,no,cellular,6,may,101,1,-1,0,,no
32,services,single,secondary,no,310,yes,no,cellular,6,may,144,1,-1,0,,no
42,blue-collar,married,,no,132,yes,no,cellular,6,may,238,1,-1,0,,no
50,technician,married,secondary,no,797,yes,no,cellular,6,may,354,1,-1,0,,no
40,services,married,secondary,no,71,no,no,cellular,6,may,79,1,-1,0,,no
46,management,divorced,,no,2,yes,no,cellular,6,may,187,1,-1,0,,no
37,management,married,tertiary,no,231,yes,yes,cellular,6,may,451,2,-1,0,,no
34,blue-collar,married,secondary,no,270,yes,yes,cellular,6,may,159,1,-1,0,,no
44,blue-collar,married,secondary,no,274,yes,yes,cellular,6,may,409,1,-1,0,,no
40,admin.,single,secondary,no,-109,yes,yes,cellular,6,may,170,1,-1,0,,no
33,blue-collar,single,secondary,yes,-60,no,no,cellular,6,may,243,1,-1,0,,no
35,blue-collar,married,secondary,no,89,yes,no,cellular,6,may,145,2,-1,0,,no
58,blue-collar,divorced,secondary,no,-11,no,no,cellular,6,may,112,1,-1,0,,no
39,blue-collar,married,primary,no,0,yes,no,cellular,6,may,262,2,-1,0,,no
43,blue-collar,married,secondary,no,-509,yes,no,cellular,6,may,124,1,-1,0,,no
39,unemployed,married,primary,no,408,yes,no,cellular,6,may,53,1,-1,0,,no
36,services,single,primary,no,58,yes,no,cellular,6,may,134,1,-1,0,,no
57,retired,single,secondary,no,1640,no,yes,cellular,6,may,204,4,-1,0,,no
36,admin.,single,secondary,no,20,yes,no,cellular,6,may,186,1,-1,0,,no
50,blue-collar,married,primary,no,71,yes,no,cellular,6,may,678,1,-1,0,,no
55,blue-collar,married,secondary,no,52,yes,no,cellular,6,may,182,1,-1,0,,no
44,self-employed,married,tertiary,no,292,yes,no,cellular,6,may,162,1,-1,0,,no
44,services,divorced,secondary,no,424,yes,no,cellular,6,may,27,1,-1,0,,no
39,housemaid,single,primary,no,109,yes,no,cellular,6,may,699,3,-1,0,,no
46,blue-collar,married,,no,1044,yes,no,cellular,6,may,43,1,-1,0,,no
39,blue-collar,married,secondary,no,983,yes,no,cellular,6,may,97,1,-1,0,,no
40,blue-collar,married,primary,no,668,yes,no,cellular,6,may,283,2,-1,0,,no
50,management,married,tertiary,no,964,yes,no,cellular,6,may,323,1,-1,0,,no
31,management,single,secondary,no,301,yes,no,cellular,6,may,82,1,-1,0,,no
37,admin.,single,secondary,no,140,yes,no,cellular,6,may,310,1,-1,0,,no
39,management,single,secondary,no,1877,yes,no,cellular,6,may,185,1,-1,0,,no
51,blue-collar,married,primary,no,1127,yes,no,cellular,6,may,47,1,-1,0,,no
41,technician,married,secondary,no,871,yes,no,cellular,6,may,145,1,-1,0,,no
41,technician,married,secondary,no,767,yes,yes,cellular,6,may,204,1,-1,0,,no
43,blue-collar,married,secondary,no,0,no,no,cellular,6,may,187,1,-1,0,,no
30,services,single,secondary,no,209,yes,no,cellular,6,may,30,2,-1,0,,no
54,management,divorced,primary,no,0,no,no,cellular,6,may,472,1,-1,0,,no
43,blue-collar,divorced,secondary,no,110,yes,yes,cellular,6,may,448,1,-1,0,,no
59,management,divorced,tertiary,no,-76,yes,yes,cellular,6,may,264,1,-1,0,,no
47,technician,married,,no,178,yes,no,cellular,6,may,169,1,-1,0,,no
40,blue-collar,married,primary,no,-66,yes,no,cellular,6,may,288,1,-1,0,,no
32,technician,married,secondary,no,0,yes,no,cellular,6,may,176,2,-1,0,,no
29,blue-collar,married,secondary,no,1,yes,no,cellular,6,may,215,1,-1,0,,no
36,blue-collar,married,secondary,no,0,yes,no,cellular,6,may,337,1,-1,0,,no
55,unemployed,married,tertiary,no,5345,no,no,cellular,6,may,278,1,-1,0,,no
30,blue-collar,divorced,secondary,no,-209,yes,no,cellular,6,may,188,2,-1,0,,no
39,admin.,single,secondary,no,0,yes,no,cellular,6,may,174,2,-1,0,,no
39,blue-collar,divorced,secondary,no,42,yes,no,cellular,6,may,226,2,-1,0,,no
50,blue-collar,divorced,secondary,no,41,yes,no,cellular,6,may,190,1,-1,0,,no
44,blue-collar,married,secondary,no,-99,yes,no,cellular,6,may,111,2,-1,0,,no
37,technician,single,secondary,no,17,yes,no,cellular,6,may,164,1,-1,0,,no
46,admin.,married,primary,no,276,yes,yes,cellular,6,may,157,2,-1,0,,no
32,technician,single,,no,-170,no,no,cellular,6,may,46,1,-1,0,,no
37,management,single,tertiary,no,230,yes,yes,cellular,6,may,374,1,-1,0,,no
29,blue-collar,married,secondary,no,9,yes,no,cellular,6,may,349,1,-1,0,,no
41,blue-collar,married,secondary,no,946,yes,no,cellular,6,may,325,1,-1,0,,no
45,blue-collar,married,primary,no,1297,yes,no,cellular,6,may,233,2,-1,0,,no
57,retired,divorced,secondary,no,-331,yes,no,cellular,6,may,531,1,-1,0,,no
48,blue-collar,single,secondary,no,44,yes,no,cellular,6,may,153,1,-1,0,,no
60,retired,married,secondary,yes,15,no,no,cellular,6,may,80,1,-1,0,,no
26,admin.,single,secondary,no,712,yes,no,cellular,6,may,232,1,-1,0,,no
58,retired,married,secondary,no,5435,yes,no,cellular,6,may,118,1,-1,0,,no
34,admin.,married,secondary,no,507,yes,no,cellular,6,may,190,1,-1,0,,no
41,blue-collar,married,primary,no,0,yes,yes,cellular,6,may,238,1,-1,0,,no
50,management,divorced,secondary,no,1716,yes,no,cellular,6,may,82,1,-1,0,,no
49,entrepreneur,married,secondary,no,167,yes,yes,cellular,6,may,198,3,-1,0,,no
44,admin.,married,,no,40,no,yes,cellular,6,may,160,2,-1,0,,no
44,blue-collar,married,primary,no,148,yes,no,cellular,6,may,211,1,-1,0,,no
31,technician,married,secondary,no,17,yes,yes,cellular,6,may,120,1,-1,0,,no
34,blue-collar,single,tertiary,no,1011,yes,no,cellular,6,may,136,1,-1,0,,no
46,management,single,,no,1527,yes,no,cellular,6,may,269,1,-1,0,,no
42,management,married,tertiary,no,744,no,no,cellular,6,may,157,1,-1,0,,no
52,admin.,married,secondary,no,484,yes,no,cellular,6,may,128,1,-1,0,,no
29,management,single,tertiary,no,0,yes,no,cellular,6,may,211,1,-1,0,,no
53,retired,married,primary,no,136,yes,no,cellular,6,may,267,2,-1,0,,no
43,blue-collar,married,secondary,no,1335,yes,no,cellular,6,may,371,2,-1,0,,no
38,management,married,secondary,no,517,yes,no,cellular,6,may,288,2,-1,0,,no
46,management,married,tertiary,no,459,yes,no,cellular,6,may,221,1,-1,0,,no
48,management,divorced,,no,549,yes,no,cellular,6,may,427,1,-1,0,,no
30,admin.,divorced,secondary,no,83,yes,yes,cellular,6,may,310,1,-1,0,,no
44,blue-collar,married,primary,no,213,no,no,cellular,6,may,158,1,-1,0,,no
31,housemaid,married,primary,no,203,yes,no,cellular,6,may,604,3,-1,0,,no
42,services,single,secondary,no,518,yes,no,cellular,6,may,198,1,-1,0,,no
40,management,single,tertiary,no,3877,yes,no,cellular,6,may,145,1,-1,0,,no
52,admin.,married,secondary,no,1236,yes,no,cellular,6,may,247,1,-1,0,,no
45,blue-collar,divorced,secondary,no,756,yes,no,cellular,6,may,179,2,-1,0,,no
48,blue-collar,married,secondary,no,157,yes,no,cellular,6,may,73,1,-1,0,,no
45,blue-collar,married,primary,no,-66,yes,no,cellular,6,may,263,2,-1,0,,no
34,blue-collar,married,,no,245,yes,no,cellular,6,may,13,1,-1,0,,no
34,blue-collar,married,primary,no,-144,yes,no,cellular,6,may,79,2,-1,0,,no
46,blue-collar,married,secondary,no,71,yes,no,cellular,6,may,416,1,-1,0,,no
49,services,divorced,secondary,no,505,yes,no,cellular,6,may,162,1,-1,0,,no
50,technician,married,primary,no,249,yes,no,cellular,6,may,129,1,-1,0,,no
34,admin.,single,secondary,no,0,yes,no,cellular,6,may,150,1,-1,0,,no
40,unemployed,single,secondary,no,11,yes,no,cellular,6,may,43,1,-1,0,,no
36,admin.,married,secondary,no,639,yes,no,cellular,6,may,191,1,-1,0,,no
59,blue-collar,divorced,,no,124,yes,no,cellular,6,may,26,1,-1,0,,no
45,blue-collar,married,secondary,no,82,yes,no,cellular,6,may,250,1,-1,0,,no
36,self-employed,married,tertiary,no,107,yes,no,cellular,6,may,146,1,-1,0,,no
56,services,married,secondary,no,473,yes,no,cellular,6,may,416,1,-1,0,,no
42,services,divorced,secondary,no,372,yes,yes,cellular,6,may,121,2,-1,0,,no
30,admin.,married,secondary,no,46,yes,no,cellular,6,may,114,2,-1,0,,no
30,student,single,tertiary,no,34,yes,no,cellular,6,may,289,1,-1,0,,no
47,self-employed,married,,no,935,yes,no,cellular,6,may,225,1,-1,0,,no
33,blue-collar,married,secondary,no,-10,yes,no,cellular,6,may,123,1,-1,0,,no
36,admin.,married,secondary,no,-106,yes,no,cellular,6,may,130,2,-1,0,,no
39,services,divorced,primary,no,471,yes,no,cellular,6,may,161,2,-1,0,,no
56,admin.,divorced,secondary,no,778,yes,no,cellular,6,may,149,2,-1,0,,no
39,blue-collar,divorced,,no,170,yes,no,cellular,6,may,268,2,-1,0,,no
42,technician,married,secondary,no,315,yes,no,cellular,6,may,259,2,-1,0,,no
52,blue-collar,married,secondary,no,3165,no,no,cellular,6,may,26,1,-1,0,,no
36,admin.,divorced,secondary,no,131,yes,no,cellular,6,may,153,1,-1,0,,no
35,entrepreneur,married,secondary,yes,204,yes,no,cellular,6,may,424,2,-1,0,,no
47,technician,married,secondary,no,83,yes,no,cellular,6,may,179,2,-1,0,,no
59,services,divorced,secondary,no,0,yes,yes,cellular,6,may,97,1,-1,0,,no
57,blue-collar,married,primary,no,5431,yes,yes,cellular,6,may,383,1,-1,0,,no
38,management,married,,no,1759,yes,no,cellular,6,may,440,1,-1,0,,no
46,unemployed,married,secondary,no,-125,yes,no,cellular,6,may,23,1,-1,0,,no
34,blue-collar,married,secondary,no,0,no,no,cellular,6,may,195,1,-1,0,,no
38,technician,married,,no,573,yes,no,cellular,6,may,87,1,-1,0,,no
56,blue-collar,married,secondary,no,1602,yes,no,cellular,6,may,427,1,-1,0,,no
41,blue-collar,single,primary,yes,-137,yes,yes,cellular,6,may,189,1,-1,0,,no
52,technician,married,,no,0,no,no,cellular,6,may,195,1,-1,0,,no
54,services,married,secondary,no,193,no,no,cellular,6,may,179,1,-1,0,,no
61,retired,married,secondary,no,195,yes,yes,cellular,6,may,179,1,-1,0,,no
53,entrepreneur,married,secondary,no,288,no,no,cellular,6,may,69,1,-1,0,,no
47,technician,married,secondary,no,19,yes,no,cellular,6,may,105,2,-1,0,,no
53,blue-collar,married,primary,no,25,yes,no,cellular,6,may,266,3,-1,0,,no
46,services,married,secondary,no,216,yes,no,cellular,6,may,524,2,-1,0,,no
39,blue-collar,divorced,primary,no,190,yes,yes,cellular,6,may,96,2,-1,0,,no
56,technician,divorced,secondary,no,99,yes,no,cellular,6,may,155,2,-1,0,,no
55,services,divorced,primary,no,2298,yes,no,cellular,6,may,162,2,-1,0,,no
44,management,married,tertiary,no,17,yes,no,cellular,6,may,352,2,-1,0,,no
37,technician,married,primary,no,0,yes,no,cellular,6,may,76,4,-1,0,,no
35,blue-collar,married,primary,no,0,yes,no,cellular,6,may,154,2,-1,0,,no
55,blue-collar,married,secondary,no,840,yes,no,cellular,6,may,310,2,-1,0,,no
37,services,married,secondary,no,358,yes,no,cellular,6,may,390,3,-1,0,,no
30,technician,single,secondary,no,0,yes,no,cellular,6,may,369,1,-1,0,,no
37,blue-collar,married,primary,no,-325,yes,yes,cellular,6,may,112,2,-1,0,,no
36,technician,single,secondary,no,-15,yes,no,cellular,6,may,341,3,-1,0,,no
38,technician,married,secondary,no,581,yes,no,cellular,6,may,79,1,-1,0,,no
41,admin.,divorced,primary,no,4070,yes,no,cellular,6,may,140,2,-1,0,,no
48,retired,married,secondary,no,74,no,yes,cellular,6,may,315,1,-1,0,,no
55,services,divorced,secondary,no,141,yes,no,cellular,6,may,262,2,-1,0,,no
28,services,divorced,secondary,no,89,no,no,cellular,6,may,174,2,-1,0,,no
54,services,married,secondary,yes,0,yes,no,cellular,6,may,138,3,-1,0,,no
30,blue-collar,married,secondary,no,450,no,no,cellular,6,may,526,2,-1,0,,no
48,technician,married,tertiary,no,310,no,no,cellular,6,may,135,1,-1,0,,no
31,self-employed,married,secondary,no,0,yes,no,cellular,6,may,36,5,-1,0,,no
38,blue-collar,married,secondary,no,384,yes,no,cellular,6,may,1906,3,-1,0,,no
37,blue-collar,married,secondary,no,395,yes,no,cellular,6,may,219,2,-1,0,,no
37,services,single,,no,-118,yes,no,cellular,6,may,147,2,-1,0,,no
56,blue-collar,married,primary,no,5,yes,yes,cellular,6,may,407,2,-1,0,,no
51,blue-collar,married,secondary,no,50,yes,yes,cellular,6,may,121,1,-1,0,,no
39,blue-collar,married,secondary,no,285,yes,yes,cellular,6,may,209,1,-1,0,,no
49,technician,married,,no,15,no,no,cellular,6,may,92,2,-1,0,,no
51,blue-collar,married,primary,no,653,yes,yes,cellular,6,may,208,1,-1,0,,no
43,self-employed,married,secondary,no,918,yes,no,cellular,6,may,193,1,-1,0,,no
32,services,married,secondary,no,243,yes,yes,cellular,6,may,144,1,-1,0,,no
29,technician,single,tertiary,no,405,yes,no,cellular,6,may,65,1,-1,0,,no
48,management,divorced,tertiary,no,1328,yes,no,cellular,6,may,339,1,-1,0,,no
55,services,married,primary,no,255,yes,no,cellular,6,may,285,1,-1,0,,no
53,blue-collar,married,secondary,no,3397,yes,no,cellular,6,may,231,1,-1,0,,no
47,technician,married,,no,2106,yes,no,cellular,6,may,168,1,-1,0,,no
39,management,married,tertiary,no,2877,yes,no,cellular,6,may,278,1,-1,0,,no
31,blue-collar,single,tertiary,no,60,yes,yes,cellular,6,may,389,1,-1,0,,no
39,blue-collar,married,primary,no,2226,yes,no,cellular,6,may,158,1,-1,0,,no
40,blue-collar,married,primary,no,2880,yes,no,cellular,6,may,145,2,-1,0,,no
40,technician,single,,no,-5,yes,no,cellular,6,may,78,2,-1,0,,no
48,technician,married,secondary,no,147,no,no,cellular,6,may,142,3,-1,0,,no
33,technician,divorced,secondary,no,7,yes,yes,cellular,6,may,87,1,-1,0,,no
40,technician,married,secondary,no,109,yes,no,cellular,6,may,147,2,-1,0,,no
59,retired,married,primary,no,-119,yes,no,cellular,6,may,289,1,-1,0,,no
31,management,single,tertiary,no,1852,yes,no,cellular,6,may,170,3,-1,0,,no
35,unemployed,married,secondary,no,533,yes,no,cellular,6,may,802,1,-1,0,,no
54,technician,divorced,secondary,no,21,yes,no,cellular,6,may,381,2,-1,0,,no
34,admin.,single,,no,2434,yes,no,cellular,6,may,218,4,-1,0,,no
32,technician,married,secondary,no,90,yes,yes,cellular,6,may,57,2,-1,0,,no
56,admin.,divorced,,no,4246,yes,no,cellular,6,may,304,2,-1,0,,no
32,admin.,single,tertiary,no,395,yes,no,cellular,6,may,241,3,-1,0,,no
42,blue-collar,married,primary,no,15,yes,no,cellular,6,may,230,1,-1,0,,no
33,services,married,tertiary,no,85,no,no,cellular,6,may,262,3,-1,0,,no
52,entrepreneur,married,tertiary,no,-184,yes,yes,cellular,6,may,392,2,-1,0,,no
52,services,married,secondary,no,660,no,no,cellular,6,may,201,2,-1,0,,no
52,blue-collar,divorced,primary,yes,-183,yes,no,cellular,6,may,145,1,-1,0,,no
30,unemployed,divorced,secondary,no,1144,yes,no,cellular,6,may,252,1,-1,0,,no
44,services,divorced,secondary,no,1,yes,no,cellular,6,may,235,4,-1,0,,no
35,admin.,married,secondary,no,69,yes,yes,cellular,6,may,235,2,-1,0,,no
55,management,single,secondary,no,220,yes,no,cellular,6,may,328,2,-1,0,,no
33,blue-collar,married,primary,no,332,yes,no,cellular,6,may,116,2,-1,0,,no
37,blue-collar,single,secondary,no,240,yes,no,cellular,6,may,246,1,-1,0,,no
42,technician,single,secondary,no,0,yes,no,cellular,6,may,293,1,-1,0,,no
43,unemployed,married,secondary,no,0,yes,no,cellular,6,may,37,2,-1,0,,no
38,entrepreneur,married,tertiary,no,898,yes,no,cellular,6,may,132,2,-1,0,,no
37,technician,married,secondary,no,123,yes,yes,cellular,6,may,530,2,-1,0,,no
31,student,single,secondary,no,252,yes,no,cellular,6,may,175,3,-1,0,,no
41,management,married,tertiary,no,65,yes,no,cellular,6,may,524,2,-1,0,,no
41,technician,married,secondary,no,-366,yes,yes,cellular,6,may,29,3,-1,0,,no
29,student,single,secondary,no,209,yes,no,cellular,6,may,311,2,-1,0,,no
38,admin.,single,secondary,no,221,yes,no,cellular,6,may,211,2,-1,0,,no
44,self-employed,divorced,tertiary,no,4,yes,no,cellular,6,may,312,3,-1,0,,no
39,admin.,married,secondary,no,104,yes,no,cellular,6,may,412,1,-1,0,,no
28,technician,single,secondary,no,312,yes,no,cellular,6,may,392,1,-1,0,,no
33,blue-collar,married,secondary,no,-349,yes,no,cellular,6,may,191,1,-1,0,,no
41,services,married,,no,4,no,no,cellular,6,may,284,2,-1,0,,no
40,blue-collar,married,primary,no,-322,yes,yes,cellular,6,may,144,1,-1,0,,no
29,admin.,married,secondary,no,-150,yes,no,cellular,6,may,328,1,-1,0,,no
38,management,married,,no,1349,yes,no,cellular,6,may,100,1,-1,0,,no
32,admin.,married,tertiary,no,281,yes,no,cellular,6,may,226,1,-1,0,,no
45,services,married,secondary,no,1259,yes,no,cellular,6,may,507,1,-1,0,,no
33,admin.,single,secondary,no,101,yes,no,cellular,6,may,392,1,-1,0,,no
34,blue-collar,married,secondary,no,848,yes,no,cellular,6,may,684,2,-1,0,,no
41,entrepreneur,married,,no,89,yes,no,cellular,6,may,333,2,-1,0,,no
41,blue-collar,married,secondary,no,140,yes,no,cellular,6,may,311,3,-1,0,,no
35,admin.,single,secondary,no,148,yes,no,cellular,6,may,128,2,-1,0,,no
40,technician,single,secondary,no,200,yes,no,cellular,6,may,322,2,-1,0,,no
60,self-employed,married,primary,no,46,yes,no,cellular,6,may,202,4,-1,0,,no
47,services,divorced,secondary,no,201,yes,no,cellular,6,may,92,2,-1,0,,no
46,blue-collar,married,primary,no,530,yes,no,cellular,6,may,739,3,-1,0,,no
31,blue-collar,single,secondary,no,0,yes,no,cellular,6,may,273,2,-1,0,,no
49,self-employed,married,secondary,no,1,yes,no,cellular,6,may,260,3,-1,0,,no
29,blue-collar,married,secondary,no,43,yes,no,cellular,6,may,268,2,-1,0,,no
31,management,single,tertiary,no,-173,yes,no,cellular,6,may,396,2,-1,0,,no
38,management,married,tertiary,no,389,yes,no,cellular,6,may,262,1,-1,0,,no
37,blue-collar,married,primary,no,215,yes,yes,cellular,6,may,308,3,-1,0,,no
35,technician,married,secondary,no,-131,yes,no,cellular,6,may,467,2,-1,0,,no
31,management,single,secondary,no,783,yes,no,cellular,6,may,320,1,-1,0,,no
41,admin.,married,secondary,no,0,yes,no,cellular,6,may,160,3,-1,0,,no
46,services,married,,no,80,yes,no,cellular,6,may,245,2,-1,0,,no
40,services,divorced,secondary,no,105,yes,no,cellular,6,may,189,2,-1,0,,no
29,admin.,married,secondary,no,182,yes,yes,cellular,6,may,477,1,-1,0,,no
49,admin.,married,secondary,no,82,yes,no,cellular,6,may,310,1,-1,0,,no
42,management,married,tertiary,no,0,yes,no,cellular,6,may,65,3,-1,0,,no
54,services,married,secondary,no,510,yes,no,cellular,6,may,196,2,-1,0,,no
40,management,single,tertiary,no,242,yes,no,cellular,6,may,221,2,-1,0,,no
53,admin.,married,secondary,no,244,yes,yes,cellular,6,may,197,2,-1,0,,no
49,management,married,tertiary,no,92,yes,no,cellular,6,may,221,2,-1,0,,no
